DEGs	log2FC	qvalue
HBB	-6.894197885	2.41E-19
HPCA	-7.915027921	2.41E-19
IGF2	9.809346474	1.75E-17
PTPN5	-6.920725079	3.62E-17
ECEL1	8.796771889	2.70E-15
SRPK3	6.624244681	3.95E-15
ARPP21	-8.311017934	4.69E-15
ATP6V1C2	6.573293222	8.33E-15
NRGN	-9.509586358	1.10E-14
ANGPTL6	9.765524267	1.42E-14
ELF3	13.81259291	3.14E-14
CPLX2	-10.48415238	4.39E-14
ELN	5.383640335	4.39E-14
MTRNR2L8	-6.383305169	9.35E-13
GJB6	-9.347709611	1.07E-12
DDN	-9.531328093	4.20E-12
FBP2	12.63488051	5.58E-12
C1orf64	-9.171604183	7.73E-12
TTC9B	-8.246285111	9.37E-12
SLC17A7	-11.69424534	2.66E-11
RAPGEF4	-8.419762921	5.59E-11
WNT3A	12.96738044	7.26E-11
BCYRN1	-6.756386166	1.23E-10
PCP4	-6.053313471	1.32E-10
MT1M	-5.482307425	1.57E-10
NOTUM	7.606430304	1.70E-10
MTRNR2L2	-6.721556698	2.08E-10
EPPK1	10.93601991	2.99E-10
LUZP2	-6.190144228	3.10E-10
UNC13C	-10.76852242	3.14E-10
LMX1B	10.56833574	4.16E-10
ADAMTS2	5.766571682	4.52E-10
ASRGL1	-4.311483567	4.80E-10
SLCO4A1	-4.684902527	5.56E-10
CACNG3	-10.21380392	1.06E-09
TSKU	4.400127108	1.34E-09
PPP1R1A	-4.860816765	1.58E-09
FBXL16	-8.611316815	1.91E-09
VWA5B2	-8.626834661	1.91E-09
CA11	-5.464247407	2.29E-09
ACAN	5.534186651	2.93E-09
HBA2	-5.791455309	3.25E-09
MTRNR2L9	-5.867971662	3.30E-09
STMN2	-7.989074919	3.48E-09
SLC25A48	-5.153045488	4.98E-09
NTN1	5.195013265	5.16E-09
ALDH3B1	4.569652926	6.64E-09
CHI3L2	5.46077895	6.69E-09
PACSIN1	-9.692474279	6.82E-09
CAMK2A	-9.521807846	1.04E-08
SLC18A3	6.740666371	1.24E-08
TTLL10	7.305516035	1.24E-08
CACNG2	-9.267275602	1.36E-08
PRSS3	-8.180822592	1.37E-08
GABRA5	-8.423149692	1.47E-08
SYNDIG1L	-9.413471822	1.57E-08
CDH23	4.22132975	1.66E-08
FABP6	-7.21579691	1.81E-08
JPH3	-8.335409658	2.30E-08
WNT11	7.506996214	2.36E-08
EGFL7	-4.255375734	3.04E-08
CACNA1H	4.652747445	4.24E-08
TUNAR	-5.597496287	5.18E-08
SHANK1	-9.224504187	6.49E-08
DLGAP3	-8.492561932	7.20E-08
CACNA2D2	5.1373458	7.21E-08
SLC30A2	8.675568813	7.99E-08
CELF5	-7.093274022	8.18E-08
CABLES1	-4.940480278	8.55E-08
PAIP2B	-6.431222846	9.16E-08
PVALB	-11.03661832	9.23E-08
NDRG2	-4.249090545	9.37E-08
FMOD	6.200885846	9.42E-08
RPH3A	-9.382750324	1.16E-07
NEFM	-5.034559604	1.44E-07
CCKBR	-12.25057014	2.34E-07
GPR26	-10.37550658	2.41E-07
AGAP2	-8.161420863	2.44E-07
IQGAP2	6.001523368	2.50E-07
VASN	3.833743546	2.81E-07
KIF5A	-6.718843265	3.60E-07
C1QTNF4	-7.543528965	3.62E-07
MCF2L2	-7.115657022	3.84E-07
GLT1D1	-8.018817102	4.45E-07
BHLHE22	-8.424869632	5.25E-07
SLC1A6	-8.86875186	5.33E-07
ENHO	-4.777707404	5.36E-07
ARHGDIG	-6.630112608	5.91E-07
PKP4	-5.812843858	6.06E-07
OLFML2A	5.754650035	6.32E-07
ST8SIA2	4.979137688	6.32E-07
COX7A1	-5.409164774	7.41E-07
CA9	4.650639102	8.04E-07
CABP1	-7.660613382	9.65E-07
IGF2-AS	10.2840487	1.00E-06
MAFA	7.910244806	1.01E-06
EPAS1	-3.523823466	1.03E-06
RSPO4	7.626303434	1.11E-06
ALX4	6.806334795	1.29E-06
RGS22	4.705792186	1.35E-06
SYN2	-7.612146275	1.37E-06
NR5A1	9.747235658	1.46E-06
MYT1L	-7.088373599	1.50E-06
HBA1	-6.659310159	1.63E-06
KIAA1462	-4.993493149	1.63E-06
CYP27C1	5.190780343	1.65E-06
SLC4A1	-10.20766141	1.73E-06
SOWAHA	-7.263936155	1.93E-06
AES	-3.74340829	2.03E-06
ABLIM2	-4.425199938	2.14E-06
PGF	3.672613604	2.31E-06
RGS5	-3.675663401	2.33E-06
EDN2	10.52507566	2.49E-06
PPP1R16B	-4.990996206	2.59E-06
HABP4	-3.997246919	2.94E-06
ADAMTSL4	5.293574633	3.23E-06
DGKB	-5.17876741	3.76E-06
INA	-6.57029888	3.91E-06
FRMPD4	-8.485361945	3.95E-06
LOC100996385	-10.4500322	4.06E-06
RBFOX3	-7.245653001	4.38E-06
PDYN	-8.167678694	4.39E-06
EPHB2	4.755460918	4.80E-06
CPLX1	-5.278181717	4.88E-06
GRASP	-4.300614728	5.72E-06
SPATA17	4.675649611	5.85E-06
