DEGs	log2FC	qvalue
NRXN1	-7.741406608	7.71E-123
SPAG6	9.117607678	4.19E-121
PIFO	7.239699679	1.74E-110
HIST1H2AG	-10.07823808	2.40E-101
TPPP3	9.139805223	1.14E-100
FAM81B	7.790461171	5.04E-85
BAI3	-6.265941357	1.05E-80
RSPH1	8.755285693	3.88E-76
CETN2	5.746112015	5.17E-69
AK1	6.784099261	5.93E-68
GRIA2	-7.301125881	1.01E-67
UNC13C	-10.77347231	2.70E-63
GRID2	-7.943137773	6.98E-63
BANF1	5.464186751	1.51E-62
NBEA	-4.346470379	2.78E-62
RMRP	-11.13621767	1.99E-61
SNORA63	-7.877284048	1.46E-60
CCDC19	8.259665943	2.53E-60
HIST1H4D	-11.37012504	2.58E-58
SCARNA5	-11.13809559	6.72E-58
TRIM67	-6.769140388	1.17E-57
RPS26	7.098363382	1.20E-57
ANK3	-5.739382861	1.46E-57
C9orf24	7.911499737	1.46E-57
GRIN2B	-10.58996248	7.57E-57
C11orf88	10.85371374	9.56E-57
KCNH7	-7.841359308	1.88E-55
XKR4	-6.788852023	3.45E-54
CNR1	-5.478229818	5.30E-54
HIST1H3J	-10.50025163	6.25E-54
FAM92B	9.463249495	1.24E-53
ESRRG	-4.61132203	2.00E-53
CAPSL	9.57512414	2.95E-53
EFCAB1	7.014554801	3.15E-53
MORN5	7.639601281	1.53E-52
FAM166B	8.435574611	4.26E-52
C1orf87	9.867396369	6.31E-52
RPS16	5.3799135	1.23E-51
FAM183A	10.20628585	1.87E-51
RPS27	5.591156206	4.14E-51
FGF12	-5.151323779	8.84E-51
HIST1H2BF	-11.82649353	4.11E-50
RPL23A	4.897341142	4.12E-50
HIST1H3G	-10.63359377	5.88E-50
SPA17	5.711121781	9.01E-50
SV2B	-9.503052208	1.49E-49
KCNK9	-7.348921093	1.58E-49
HIST1H4I	-7.937121255	4.69E-49
ATRNL1	-6.792034024	1.33E-48
CAPS	10.07059055	2.26E-48
ATP8A2	-8.66578522	3.82E-48
HIST1H4C	-8.748783777	4.23E-48
GRM5	-7.720005206	6.88E-48
HMP19	-5.972755025	7.86E-48
CCDC135	7.042861656	1.80E-47
ST6GAL2	-6.403797852	1.94E-47
HIST1H3F	-10.62382583	2.47E-47
LHFPL4	-5.53489621	6.09E-47
KLHDC9	4.342537211	1.67E-46
PAK3	-5.363630423	1.67E-46
C17orf97	5.970912971	3.08E-46
HIST1H2AM	-11.2006378	3.27E-46
CCDC153	9.181498481	3.61E-46
RPLP1	6.020912255	7.15E-46
IFI27L2	4.710405103	8.06E-46
ZNF84	9.748454863	2.46E-45
CSTB	5.167724872	2.75E-45
RIMS1	-6.002533471	2.75E-45
HIST1H3E	-8.367309886	1.21E-44
SPEF1	7.631723374	2.18E-44
IQCG	4.573206915	9.83E-44
AKAP14	5.299840739	1.08E-43
FOLR1	7.22031753	2.27E-43
RPL18A	5.792154165	2.32E-43
PWAR5	-5.297109908	2.63E-43
C5orf49	6.78126029	3.80E-43
CLVS2	-8.213032139	1.40E-42
STMN4	-5.80582342	2.11E-42
ST18	-7.987969928	2.59E-42
SNORA8	-5.44684355	4.59E-42
C10orf105	7.039342651	4.70E-42
OLFM3	-9.281840365	4.79E-42
AMER3	-8.302392934	7.70E-42
MMP24	-5.28471706	1.67E-41
DLG2	-5.176779061	1.72E-41
FTH1	4.825580938	2.12E-41
ZNF385A	5.722484389	3.23E-41
CACNA2D1	-5.094626852	3.51E-41
IL1RAPL1	-7.697434799	3.67E-41
