DEGs	log2FC	qvalue
RMRP	-11.29536162	1.54E-73
RPPH1	-11.50113413	3.00E-72
SCARNA10	-11.73100566	1.43E-60
CPLX2	-9.203530423	4.19E-51
GRID2	-8.678627415	1.45E-50
SCARNA2	-9.930478643	2.22E-48
GRIK2	-10.86966866	1.54E-47
UNC13C	-11.02520431	8.86E-46
HIST1H2AG	-9.071974743	3.49E-43
HIST1H3J	-10.54857693	4.71E-42
HIST1H3G	-8.838680521	3.54E-40
NCAM2	-7.513990507	3.54E-40
HIST1H3B	-10.70675883	1.89E-39
HIST1H3F	-9.6857159	3.81E-39
SPAG6	8.717035015	4.59E-39
HIST1H2AI	-10.99958304	1.37E-38
SCARNA12	-8.819350106	2.11E-38
SV2B	-9.339464645	2.11E-38
HIST2H2AC	-8.546196454	5.83E-38
SCARNA7	-9.290661936	6.61E-38
ST18	-8.67202768	1.46E-37
GUCY1A2	-6.958261262	4.48E-37
RPLP1	6.904914595	4.48E-37
PCDH15	-9.533185623	1.84E-36
TPPP3	8.977358835	1.99E-36
HIST1H4B	-8.039833702	2.09E-36
HIST1H2AM	-9.542126642	4.83E-36
HIST1H1B	-12.58902855	8.96E-36
NRXN1	-8.351868835	3.41E-35
ROBO2	-6.58626067	1.17E-34
OLFM3	-8.985745226	2.53E-34
HIST1H4C	-8.692327295	4.09E-34
SCARNA21	-10.54911464	6.09E-34
CAMK4	-8.283855098	2.26E-33
HIST1H2BL	-11.8876168	7.49E-33
HIST1H4I	-8.887308843	1.11E-32
SNORA63	-7.636578232	1.20E-32
SOGA3	-6.508733945	2.43E-32
C9orf24	8.195073857	7.37E-32
SCARNA5	-14.94034442	9.72E-32
HIST1H1D	-9.975750771	1.22E-31
NEUROD1	-10.17320676	3.33E-31
HIST1H4E	-6.919481043	5.40E-31
SLITRK4	-7.581279172	6.21E-31
PCDH11X	-9.637104494	6.56E-31
CLVS1	-7.321029559	8.04E-31
HIST1H2AH	-10.36333707	8.46E-31
HIST1H2BO	-10.18069528	8.53E-31
ATRNL1	-6.444618513	9.68E-31
ZNF84	9.824632688	1.00E-30
SNORA12	-9.011280211	1.30E-30
CAPSL	9.55875049	2.20E-30
RPS27	6.529601932	2.20E-30
CNTN4	-6.577974814	2.56E-30
